test_rmse_reconstructed,n_pcs,model,batch_size,window_size,schedule,add_sin_cos
0.652,20,agcrn,96,6,standard,0
0.63,20,agcrn,32,5,standard,1
0.723,20,stemgnn,32,4,cosine,1
0.643,20,fgnn,64,6,cosine,1
0.64,20,fgnn,32,6,cosine_warmup,1
0.655,20,fgnn,96,4,cosine,1
0.639,20,fgnn,64,4,cosine_warmup,1
0.627,20,agcrn,64,4,standard,1
0.699,20,mtgnn,96,6,standard,0
0.646,20,fgnn,32,4,cosine,0
0.77,20,stemgnn,64,6,standard,1
0.628,20,agcrn,64,5,cosine_warmup,1
0.817,20,stemgnn,64,5,cosine,1
0.787,20,agcrn,64,5,standard,0
0.661,20,fgnn,64,6,standard,0
0.664,20,fgnn,32,6,standard,1
0.628,20,mtgnn,64,5,standard,1
0.685,20,fgnn,64,5,cosine,0
0.736,20,agcrn,32,4,cosine_warmup,1
0.68,20,mtgnn,32,4,standard,1
0.638,20,fgnn,32,5,cosine_warmup,1
0.646,20,fgnn,64,6,standard,0
0.708,20,fgnn,96,4,cosine,0
0.677,20,mtgnn,64,6,cosine,0
0.653,20,agcrn,96,6,cosine_warmup,1
0.656,20,fgnn,32,6,standard,0
0.767,20,stemgnn,64,4,standard,1
0.686,20,mtgnn,32,6,cosine,1
0.726,20,stemgnn,32,5,standard,1
0.625,20,agcrn,32,5,standard,0
0.763,20,stemgnn,32,6,cosine,0
0.691,20,agcrn,32,4,cosine,0
0.647,20,fgnn,64,5,standard,1
0.624,20,agcrn,32,6,standard,0
0.678,20,mtgnn,32,6,standard,1
0.655,20,fgnn,96,4,cosine_warmup,1
0.807,20,agcrn,96,5,standard,0
0.649,20,agcrn,96,5,cosine_warmup,1
0.765,20,agcrn,32,4,cosine,1
0.628,20,agcrn,64,5,cosine,0
0.686,20,fgnn,96,6,standard,0
0.664,20,mtgnn,32,6,standard,0
0.748,20,stemgnn,64,6,standard,0
0.778,20,agcrn,96,4,cosine,0
0.722,20,mtgnn,96,5,cosine,1
0.647,20,fgnn,32,4,standard,1
0.769,20,stemgnn,96,6,cosine,0
0.719,20,mtgnn,96,5,standard,0
0.648,20,fgnn,32,5,cosine,0
0.643,20,fgnn,64,4,cosine,1
0.792,20,stemgnn,96,5,standard,1
0.732,20,stemgnn,32,6,cosine,1
0.752,20,stemgnn,64,5,standard,0
0.658,20,fgnn,96,6,cosine,1
0.746,20,stemgnn,64,5,cosine_warmup,1
0.714,20,mtgnn,96,6,cosine_warmup,1
0.655,20,fgnn,32,6,standard,0
0.667,20,fgnn,32,5,cosine,1
0.666,20,fgnn,96,5,cosine,0
0.647,20,fgnn,96,4,standard,1
0.636,20,fgnn,64,4,cosine,0
0.757,20,stemgnn,96,6,standard,0
0.646,20,fgnn,64,4,standard,0
0.752,20,stemgnn,32,4,cosine_warmup,1
0.741,20,stemgnn,64,6,cosine_warmup,1
0.72,20,mtgnn,96,5,cosine_warmup,1
0.691,20,mtgnn,96,6,standard,1
0.736,20,stemgnn,96,5,cosine,1
0.688,20,mtgnn,32,5,standard,0
0.798,20,agcrn,32,5,cosine,0
0.71,20,mtgnn,64,5,cosine_warmup,1
0.796,20,stemgnn,96,6,cosine_warmup,1
0.658,20,mtgnn,32,4,cosine,1
0.672,20,mtgnn,64,6,standard,0
0.721,20,stemgnn,32,6,standard,0
0.69,20,mtgnn,64,5,standard,0
0.711,20,mtgnn,96,6,cosine,0
0.802,20,agcrn,64,6,standard,0
0.671,20,agcrn,96,5,cosine,1
0.65,20,fgnn,32,4,standard,0
0.76,20,agcrn,96,5,standard,1
0.754,20,stemgnn,96,5,standard,0
0.669,20,fgnn,96,4,standard,0
0.75,20,stemgnn,32,5,standard,0
0.697,20,mtgnn,64,5,cosine,1
0.811,20,agcrn,96,5,cosine,0
0.675,20,mtgnn,32,4,cosine_warmup,1
0.628,20,agcrn,64,4,cosine,0
0.63,20,agcrn,32,6,cosine,1
0.701,20,mtgnn,96,4,standard,1
0.775,20,stemgnn,64,6,cosine,0
0.68,20,mtgnn,64,6,cosine_warmup,1
0.8,20,stemgnn,96,5,cosine_warmup,1
0.678,20,mtgnn,32,6,cosine,0
0.656,20,fgnn,96,6,standard,1
0.681,20,fgnn,96,6,standard,0
0.721,20,stemgnn,32,5,standard,0
0.654,20,fgnn,32,5,standard,0
0.679,20,mtgnn,64,5,standard,0
0.857,20,stemgnn,96,4,standard,0
0.761,20,stemgnn,64,4,standard,0
0.705,20,mtgnn,32,4,standard,0
0.806,20,agcrn,96,4,cosine,1
0.664,20,fgnn,96,6,cosine,0
0.809,20,agcrn,32,4,standard,0
0.809,20,agcrn,64,6,cosine,1
0.664,20,fgnn,64,5,cosine_warmup,1
0.698,20,mtgnn,64,4,standard,0
0.663,20,mtgnn,32,5,cosine,1
0.629,20,agcrn,64,4,cosine_warmup,1
0.645,20,agcrn,32,6,standard,0
0.633,20,agcrn,32,6,cosine_warmup,1
0.653,20,fgnn,96,5,standard,1
0.646,20,agcrn,64,5,standard,0
0.649,20,fgnn,32,6,cosine,0
0.722,20,mtgnn,96,6,cosine,1
0.692,20,mtgnn,64,4,cosine,1
0.767,20,stemgnn,96,4,standard,1
0.684,20,fgnn,96,5,standard,0
0.787,20,agcrn,32,5,cosine_warmup,1
0.64,20,agcrn,96,6,standard,1
0.665,20,fgnn,96,5,standard,0
0.744,20,stemgnn,32,4,standard,0
0.645,20,fgnn,64,6,cosine_warmup,1
0.641,20,fgnn,32,4,cosine_warmup,1
0.757,20,stemgnn,64,5,cosine,0
0.759,20,stemgnn,64,4,standard,0
0.64,20,agcrn,96,6,cosine,0
0.69,20,fgnn,96,6,cosine_warmup,1
0.832,20,stemgnn,96,4,cosine,0
0.695,20,mtgnn,96,5,standard,1
0.642,20,fgnn,32,5,standard,0
0.707,20,mtgnn,96,4,standard,0
0.645,20,fgnn,64,4,standard,0
0.655,20,fgnn,64,5,cosine,1
0.654,20,mtgnn,32,5,cosine,0
0.763,20,stemgnn,96,6,standard,1
0.654,20,fgnn,96,5,cosine_warmup,1
0.777,20,stemgnn,96,5,standard,0
0.647,20,agcrn,96,4,standard,1
0.675,20,mtgnn,32,4,standard,0
0.756,20,stemgnn,32,4,cosine,0
0.648,20,agcrn,96,4,cosine_warmup,1
0.618,20,agcrn,32,6,cosine,0
0.63,20,agcrn,64,6,standard,0
0.691,20,mtgnn,96,4,standard,0
0.776,20,stemgnn,96,4,cosine,1
0.679,20,mtgnn,64,4,cosine,0
0.65,20,fgnn,32,4,cosine,1
0.739,20,agcrn,96,4,standard,0
0.641,20,fgnn,64,5,standard,0
0.759,20,stemgnn,64,6,cosine,1
0.72,20,mtgnn,96,5,cosine,0
0.706,20,mtgnn,64,6,standard,0
0.646,20,fgnn,64,6,standard,1
0.649,20,fgnn,96,4,standard,0
0.699,20,mtgnn,32,5,standard,1
0.812,20,agcrn,96,6,cosine,1
0.632,20,agcrn,32,4,standard,0
0.752,20,stemgnn,96,6,standard,0
0.663,20,mtgnn,64,4,standard,1
0.635,20,agcrn,64,4,cosine,1
0.774,20,stemgnn,64,4,cosine_warmup,1
0.79,20,stemgnn,32,6,cosine_warmup,1
0.66,20,fgnn,64,6,cosine,0
0.621,20,agcrn,64,5,standard,1
0.815,20,agcrn,64,4,standard,0
0.681,20,agcrn,32,5,standard,0
0.733,20,stemgnn,32,6,standard,0
0.716,20,mtgnn,96,4,cosine,1
0.644,20,agcrn,96,4,standard,0
0.761,20,stemgnn,64,5,standard,0
0.71,20,mtgnn,96,4,cosine_warmup,1
0.656,20,mtgnn,32,5,standard,0
0.717,20,stemgnn,32,5,cosine_warmup,1
0.71,20,mtgnn,64,6,cosine,1
0.721,20,stemgnn,32,6,standard,1
0.715,20,stemgnn,32,4,standard,0
0.805,20,agcrn,32,5,cosine,1
0.689,20,mtgnn,64,4,standard,0
0.754,20,agcrn,32,4,standard,1
0.703,20,mtgnn,64,4,cosine_warmup,1
0.675,20,mtgnn,32,6,cosine_warmup,1
0.699,20,fgnn,96,5,cosine,1
0.674,20,fgnn,32,5,standard,1
0.663,20,mtgnn,32,4,cosine,0
0.679,20,mtgnn,64,6,standard,1
0.811,20,agcrn,96,5,standard,0
0.722,20,mtgnn,96,6,standard,0
0.819,20,stemgnn,96,5,cosine,0
0.705,20,mtgnn,96,5,standard,0
0.73,20,stemgnn,32,5,cosine,1
0.765,20,stemgnn,96,4,standard,0
0.649,20,fgnn,64,4,standard,1
0.76,20,stemgnn,64,6,standard,0
0.808,20,agcrn,64,6,cosine,0
0.778,20,stemgnn,64,4,cosine,0
0.637,20,fgnn,64,5,standard,0
0.715,20,mtgnn,96,4,cosine,0
0.735,20,stemgnn,32,4,standard,1
1.036,20,stemgnn,96,4,cosine_warmup,1
0.764,20,stemgnn,96,6,cosine,1
0.683,20,mtgnn,64,5,cosine,0
0.641,20,mtgnn,32,5,cosine_warmup,1
0.62,20,agcrn,32,6,standard,1
0.655,20,fgnn,32,4,standard,0
0.902,20,stemgnn,64,4,cosine,1
0.701,20,mtgnn,32,6,standard,0
0.751,20,stemgnn,32,5,cosine,0
0.631,20,fgnn,32,6,cosine,1
0.755,20,stemgnn,64,5,standard,1
0.628,20,agcrn,64,4,standard,0
0.661,5,mtgnn,32,6,cosine,0
0.597,5,fgnn,64,5,cosine,0
0.708,5,stemgnn,64,4,standard,0
0.608,5,fgnn,96,6,standard,0
0.67,5,mtgnn,96,6,standard,0
0.629,5,fgnn,96,4,cosine,0
0.657,5,mtgnn,32,4,standard,1
0.631,5,agcrn,96,6,standard,0
0.62,5,mtgnn,64,5,standard,1
0.628,5,fgnn,96,6,standard,1
0.607,5,fgnn,64,6,standard,0
0.609,5,agcrn,96,5,cosine,0
0.606,5,agcrn,32,4,cosine_warmup,1
0.707,5,stemgnn,32,4,cosine_warmup,1
0.603,5,agcrn,64,4,cosine,0
0.616,5,agcrn,64,6,cosine_warmup,1
0.719,5,stemgnn,64,6,cosine_warmup,1
0.673,5,mtgnn,96,6,cosine,0
0.712,5,stemgnn,96,4,cosine,1
0.604,5,agcrn,64,4,standard,1
0.595,5,fgnn,32,4,cosine,0
0.63,5,mtgnn,64,5,standard,0
0.706,5,stemgnn,64,6,standard,1
0.603,5,agcrn,32,5,cosine,0
0.738,5,stemgnn,64,5,cosine_warmup,1
0.597,5,agcrn,64,5,cosine_warmup,1
0.596,5,agcrn,32,5,standard,1
0.676,5,stemgnn,64,6,cosine,1
0.614,5,agcrn,96,4,cosine,1
0.632,5,fgnn,96,4,standard,1
0.61,5,agcrn,96,5,cosine_warmup,1
0.719,5,stemgnn,96,5,cosine_warmup,1
0.708,5,stemgnn,64,6,standard,0
0.748,5,stemgnn,96,4,standard,0
0.639,5,mtgnn,32,5,cosine,1
0.609,5,fgnn,32,5,cosine,1
0.634,5,fgnn,96,6,standard,0
0.607,5,agcrn,64,6,cosine,1
0.706,5,stemgnn,64,6,cosine,0
0.639,5,mtgnn,32,6,standard,1
0.61,5,mtgnn,32,5,standard,0
0.648,5,mtgnn,96,5,standard,0
0.609,5,fgnn,32,6,standard,0
0.629,5,fgnn,96,6,cosine,1
0.668,5,mtgnn,96,6,cosine,1
0.614,5,fgnn,32,6,standard,0
0.685,5,stemgnn,64,4,standard,1
0.741,5,stemgnn,96,6,cosine_warmup,1
0.773,5,agcrn,96,6,cosine_warmup,1
0.664,5,mtgnn,32,6,standard,0
0.683,5,stemgnn,32,4,standard,0
0.608,5,agcrn,64,6,standard,1
0.604,5,agcrn,32,6,standard,0
0.599,5,mtgnn,64,4,cosine,1
0.601,5,fgnn,64,4,cosine,1
0.663,5,stemgnn,32,5,standard,1
0.61,5,fgnn,64,5,standard,1
0.616,5,fgnn,64,4,standard,0
0.598,5,agcrn,64,5,cosine,0
0.673,5,mtgnn,96,6,standard,1
0.612,5,agcrn,96,5,standard,0
0.605,5,agcrn,96,4,cosine,0
0.694,5,stemgnn,96,6,standard,0
0.703,5,stemgnn,32,5,cosine,1
0.688,5,stemgnn,64,6,standard,0
0.63,5,fgnn,96,4,cosine_warmup,1
0.6,5,fgnn,96,5,cosine,0
0.613,5,fgnn,64,4,cosine,0
0.664,5,mtgnn,96,5,cosine_warmup,1
0.604,5,fgnn,32,4,standard,1
0.732,5,stemgnn,96,5,standard,1
0.716,5,stemgnn,96,6,cosine,1
0.597,5,agcrn,32,4,cosine,0
0.619,5,fgnn,32,5,cosine,0
0.65,5,mtgnn,96,6,cosine_warmup,1
0.607,5,mtgnn,64,6,cosine,0
0.598,5,agcrn,32,5,standard,0
0.708,5,stemgnn,64,4,cosine,1
0.557,5,mtgnn,32,4,cosine_warmup,1
0.599,5,agcrn,64,6,standard,0
0.779,5,agcrn,96,6,cosine,1
0.606,5,mtgnn,64,6,cosine_warmup,1
0.604,5,agcrn,64,5,standard,0
0.623,5,fgnn,32,5,cosine_warmup,1
0.605,5,fgnn,32,6,standard,1
0.618,5,fgnn,96,4,standard,0
0.702,5,stemgnn,96,6,cosine,0
0.604,5,fgnn,64,6,standard,0
0.637,5,mtgnn,96,4,standard,1
0.62,5,mtgnn,64,6,standard,0
0.685,5,stemgnn,96,6,standard,0
0.599,5,agcrn,64,4,cosine,1
0.608,5,agcrn,96,5,standard,1
0.603,5,fgnn,32,6,cosine_warmup,1
0.595,5,fgnn,64,4,cosine_warmup,1
0.659,5,mtgnn,96,4,cosine,1
0.62,5,fgnn,96,4,cosine,1
0.713,5,stemgnn,32,6,standard,0
0.739,5,stemgnn,32,6,cosine,0
0.66,5,mtgnn,64,5,cosine_warmup,1
0.678,5,stemgnn,32,6,standard,0
0.599,5,fgnn,32,4,standard,0
0.614,5,agcrn,32,5,cosine,1
0.596,5,fgnn,64,6,cosine,1
0.633,5,mtgnn,64,6,cosine,1
0.597,5,agcrn,32,4,standard,0
0.607,5,mtgnn,32,6,cosine,1
0.619,5,fgnn,32,6,cosine,1
0.608,5,agcrn,64,5,standard,0
0.613,5,agcrn,96,6,standard,1
0.663,5,mtgnn,64,5,standard,0
0.613,5,fgnn,32,4,standard,0
0.644,5,mtgnn,32,6,standard,0
0.64,5,mtgnn,96,4,cosine,0
0.596,5,fgnn,96,5,standard,0
0.704,5,stemgnn,96,4,standard,1
0.602,5,mtgnn,64,5,cosine,0
0.6,5,fgnn,32,6,cosine,0
0.597,5,agcrn,32,5,cosine_warmup,1
0.684,5,stemgnn,32,5,cosine_warmup,1
0.609,5,fgnn,64,5,standard,0
0.608,5,agcrn,64,4,standard,0
0.549,5,mtgnn,32,4,standard,0
0.602,5,fgnn,32,5,standard,1
0.607,5,agcrn,32,4,cosine,1
0.614,5,fgnn,32,5,standard,0
0.606,5,agcrn,64,6,cosine,0
0.66,5,mtgnn,96,6,standard,0
0.68,5,stemgnn,64,4,cosine_warmup,1
0.598,5,agcrn,64,4,cosine_warmup,1
0.617,5,fgnn,96,5,cosine,1
0.672,5,stemgnn,32,6,cosine_warmup,1
0.606,5,agcrn,32,6,cosine_warmup,1
0.668,5,mtgnn,96,5,cosine,1
0.653,5,stemgnn,64,4,standard,0
0.613,5,mtgnn,32,4,cosine,0
0.705,5,stemgnn,32,5,standard,0
0.605,5,fgnn,96,6,cosine,0
0.593,5,fgnn,64,4,standard,1
0.608,5,agcrn,96,4,cosine_warmup,1
0.732,5,stemgnn,96,4,cosine_warmup,1
0.689,5,stemgnn,32,5,cosine,0
0.675,5,stemgnn,32,4,cosine,1
0.705,5,stemgnn,96,6,standard,1
0.652,5,agcrn,96,4,standard,0
0.612,5,agcrn,96,4,standard,1
0.601,5,fgnn,64,5,standard,0
0.729,5,stemgnn,96,5,standard,0
0.724,5,stemgnn,96,5,cosine,0
0.608,5,agcrn,96,4,standard,0
0.62,5,mtgnn,64,6,standard,0
0.614,5,fgnn,64,6,standard,1
0.667,5,mtgnn,96,5,standard,1
0.767,5,stemgnn,64,4,cosine,0
0.74,5,stemgnn,64,5,cosine,1
0.597,5,agcrn,32,4,standard,0
0.618,5,fgnn,96,4,standard,0
0.66,5,mtgnn,96,4,standard,0
0.595,5,fgnn,32,4,cosine,1
0.661,5,stemgnn,32,4,standard,0
0.648,5,mtgnn,64,4,cosine,0
0.625,5,mtgnn,32,4,cosine,1
0.609,5,agcrn,32,4,standard,1
0.577,5,mtgnn,32,4,standard,0
0.606,5,agcrn,64,6,standard,0
0.662,5,mtgnn,96,5,cosine,0
0.671,5,stemgnn,64,5,standard,0
0.684,5,stemgnn,32,6,standard,1
0.618,5,fgnn,96,5,cosine_warmup,1
0.61,5,agcrn,96,5,cosine,1
0.692,5,stemgnn,96,5,standard,0
0.619,5,mtgnn,96,4,cosine_warmup,1
0.597,5,agcrn,32,6,cosine,0
0.597,5,agcrn,64,5,standard,1
0.601,5,agcrn,32,6,cosine,1
0.61,5,fgnn,64,4,standard,0
0.576,5,mtgnn,32,5,standard,0
0.597,5,mtgnn,64,4,standard,1
0.605,5,fgnn,64,5,cosine,1
0.617,5,mtgnn,64,4,standard,0
0.63,5,mtgnn,64,5,cosine,1
0.613,5,fgnn,32,5,standard,0
0.717,5,stemgnn,32,5,standard,0
0.611,5,fgnn,64,6,cosine,0
0.604,5,mtgnn,32,5,cosine,0
0.605,5,agcrn,64,4,standard,0
0.589,5,mtgnn,32,5,standard,1
0.774,5,agcrn,96,6,cosine,0
0.648,5,mtgnn,96,4,standard,0
0.602,5,fgnn,96,6,cosine_warmup,1
0.603,5,agcrn,32,5,standard,0
0.675,5,stemgnn,32,6,cosine,1
0.666,5,mtgnn,96,5,standard,0
0.662,5,stemgnn,32,4,standard,1
0.621,5,mtgnn,32,5,cosine_warmup,1
0.64,5,agcrn,96,6,standard,0
0.611,5,fgnn,64,6,cosine_warmup,1
0.604,5,fgnn,32,4,cosine_warmup,1
0.619,5,fgnn,96,5,standard,0
0.591,5,agcrn,32,6,standard,1
0.756,5,stemgnn,32,4,cosine,0
0.678,5,stemgnn,64,5,standard,0
0.612,5,agcrn,96,5,standard,0
0.68,5,stemgnn,64,5,standard,1
0.611,5,fgnn,64,5,cosine_warmup,1
0.733,5,stemgnn,96,4,standard,0
0.638,5,mtgnn,64,4,cosine_warmup,1
0.603,5,mtgnn,32,6,cosine_warmup,1
0.701,5,stemgnn,96,5,cosine,1
0.736,5,stemgnn,64,5,cosine,0
0.607,5,mtgnn,64,4,standard,0
0.605,5,agcrn,32,6,standard,0
1.183,5,stemgnn,96,4,cosine,0
0.607,5,mtgnn,64,6,standard,1
0.619,5,fgnn,96,5,standard,1
